ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,NOM,MPC,SLOC,AHF,MIF,AIF,CF,MHF,PF,CC,LOC,NNL,MI
org.thymeleaf.dialect.IDialect,1.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.dialect.IExecutionAttributeDialect,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.dialect.IExpressionObjectDialect,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.dialect.IPostProcessorDialect,2.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.dialect.IPreProcessorDialect,2.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.dialect.IProcessorDialect,3.0,1.0,0.0,20.0,3.0,3.0,3.0,2.0,5.0,3.0,0.0,0.6667,0.0,0.0,,0.0,2.0,0.0,
org.thymeleaf.engine.AbstractElementTag,7.0,2.0,2.0,8.0,13.0,3.0,7.0,8.0,51.0,74.0,2.0,0.381,0.0,0.2857,,9.0,0.6667,1.0,
org.thymeleaf.engine.AbstractGatheringModelProcessable,20.0,1.0,2.0,23.0,33.0,18.0,20.0,20.0,140.0,308.0,7.0,0.1056,0.0,0.2,,13.9,0.7947,1.0,
org.thymeleaf.engine.AbstractProcessableElementTag,22.0,3.0,2.0,22.0,41.0,43.0,21.0,18.0,160.0,375.0,3.0,0.2294,0.0,0.0476,,15.9091,0.6667,3.0,
org.thymeleaf.engine.AbstractTemplateEvent,7.0,1.0,7.0,8.0,8.0,0.0,7.0,1.0,32.0,67.0,0.0,0.3571,0.0,0.0,,8.1429,0.3333,0.0,
org.thymeleaf.engine.AbstractTemplateHandler,17.0,1.0,2.0,16.0,30.0,0.0,17.0,13.0,89.0,156.0,2.0,0.1303,0.0,0.2353,,8.0588,0.4688,1.0,
org.thymeleaf.engine.AbstractTextualTemplateEvent,12.0,2.0,3.0,6.0,24.0,16.0,12.0,8.0,141.0,355.0,0.0,0.3167,0.0,0.5,,28.0,0.5195,3.0,
org.thymeleaf.engine.Attribute,15.0,1.0,0.0,15.0,23.0,45.0,15.0,9.0,132.0,236.0,3.0,0.2286,0.0,0.0,,14.0667,0.7929,3.0,
org.thymeleaf.engine.Attribute$1,1.0,1.0,0.0,2.0,3.0,0.0,,,,28.0,0.0,0.0,0.0,,,26.0,2.0,,
